Date-Time,Area_A_Optimizer,Area_A_Wet_Bulb,Area_A_Relative_Humidity,Area_A_Temperature,Area_A_Compressor_Power,Area_A_Compressor_Stage
2017-11-05T19:44:00,1.22904,76.40662285,44.89992683,93.97778049,39.43641463,STAGE 2
2017-11-05T19:46:00,1.95313,76.08056623,44.53187179,93.75325641,38.90023077,STAGE 2
2017-11-05T19:48:00,1.89549,76.22620736,44.71467213,93.84421311,39.58635246,STAGE 2
2017-11-05T19:50:00,1.21745,75.68807811,44.04986667,93.50231667,38.6723,STAGE 2
2017-11-05T19:52:00,1.90717,75.50735174,44.56764706,93.01017647,39.40552941,STAGE 2
2017-11-05T19:54:00,1.22396,75.78355867,45.14646667,93.06786667,38.6948,STAGE 2
2017-11-05T19:56:00,1.95313,75.93383428,45.28486885,93.1877377,39.1395082,STAGE 2
2017-11-05T19:58:00,1.92167,76.32012932,45.54677852,93.54238926,38.94846309,STAGE 2
2017-11-05T20:00:00,1.29247,76.41060171,45.12234899,93.8701745,39.25772483,STAGE 2
2017-11-05T20:02:00,1.53952,76.18028874,44.43641176,93.92829412,39.59135294,STAGE 2
2017-11-05T20:04:00,1.2231,76.29839645,44.4085082,94.09221311,39.20040984,STAGE 2
2017-11-05T20:06:00,1.95313,76.16891951,44.13219328,94.07021008,39.69693277,STAGE 2
2017-11-05T20:08:00,1.90678,75.90739224,43.89016949,93.86284746,39.51842373,STAGE 2
2017-11-05T20:10:00,1.22998,75.86980115,43.89328926,93.81343802,39.0707438,STAGE 2
2017-11-05T20:12:00,1.90147,76.1226734,44.09871074,94.02877686,38.78505785,STAGE 2
2017-11-05T20:14:00,1.10352,76.25414027,44.11985,94.18479167,39.3692,STAGE 2
2017-11-05T20:16:00,0.11393,76.20255485,43.82205833,94.27359167,39.472875,STAGE 2
2017-11-05T20:18:00,1.95313,76.41194635,43.47175,94.72345968,40.04059677,STAGE 2
2017-11-05T20:20:00,1.93257,76.38984036,43.26505263,94.80415789,39.84636842,STAGE 2
2017-11-05T20:22:00,1.22998,76.55764475,43.19039669,95.0582562,39.6756281,STAGE 2
2017-11-05T20:24:00,1.95313,76.78131609,43.12586441,95.37883051,39.24055932,STAGE 2
2017-11-05T20:26:00,1.92375,76.54870552,42.6758797,95.3215188,39.49643609,STAGE 2
2017-11-05T20:28:00,1.57131,76.76485187,42.57843609,95.65174436,39.66966917,STAGE 2
2017-11-05T20:30:00,1.92792,76.25439451,41.68487097,95.47909677,39.83883871,STAGE 2
2017-11-05T20:32:00,1.57585,75.92070821,41.87792308,94.94276923,39.98635897,STAGE 2
2017-11-05T20:34:00,1.95313,76.18131764,42.49942975,94.94398347,39.70630579,STAGE 2
2017-11-05T20:36:00,1.95313,76.83326838,42.95695122,95.53585366,39.61031707,STAGE 2
2017-11-05T20:38:00,1.95313,76.5968218,42.20398276,95.63833621,40.17747414,STAGE 2
2017-11-05T20:40:00,1.95313,76.05151475,41.80461538,95.15155556,39.94705128,STAGE 2
2017-11-05T20:42:00,1.98463,75.53410572,42.09919355,94.32559677,38.98620968,STAGE 2
